영화 댓글
신세계가 8점대인게 진짜 말이안됨
""
성선설 vs 성악설 ....
인생에 두번다시 없을 명영화
""
이게 영화입니다 영화 패러디가 다 여기서 나온 거였군요
무간도에서 많은 영감을 받은게 느껴지지만 그럼에도 무간도 아류작이라는 생각은 들지않는다.
안 본 사람도 있어? 낙원의 밤은 보지마라
신세게 2 아직이요  감독님  이거 너무한거 아니오
1000번봐도 안질려
낙원의밤 보고 열받아서 신세계 또봤다도대체 감독 무슨일 있었냐고신세계 나한텐 최고의 한국영화라고!!으씨
""
다 좋은데 마지막 여수 회상장면이 어디없음
한국 느와르가 무엇인지 물어본다면 눈을들어 신세계를 보라.
이정재 다시봤다. ~~~~
무간도 보다 훨씬 잘 만들었다.
뭐 하나 빠지지 않는 영화 재방송 해줄때마다 보는중
"처음 봤을땐 황정민 연기가, 여러번 보고나면 이정재 연기가 눈에 들어온다"
최고 그냥 최고 볼때마다 재밌음
연기 스토리 대단한 몰입력. 황정민이 어떤배우인지 증명한 영화. 이정재의 본래모습은 마지막에 등장한다.
훈정이형.. 형 이거 뽀록이었던거야??
지루하다. 액션을 하고싶은건지 멜로를 하고픈건지 기준을 모르겠네. 그냥 제주도 배경이나 봅시다
4번 봤는데 앞으로 매년 보게될 영화. 나만 인생작으로 생각하는게 아니었구나ㅋ
나 여잔대 지금까지 10번봄 깡패영화 특유의 싼티나는 스토리X
모든게 완벽하다 특히 황정민...
너무 유명해진 것이 처음 본 이들에겐 독으로.
""
"'골드문에서 돈 받아 처먹은..' 분명 정의를 위한 건데, 난 왜 깡패 편을 들게 되는가. 모든 캐릭터들 각자의 입장과 마음이 이해가 되는, 연기력이 끝내주는 영화."
최고로재밌는 느와르영화 다시봐도 꿀잼
야쿠자 영화의 내음이..그래도 드루와!
마지막  이정재의  웃음이  아련하네
21세기 한국형 느와르의 완성형 명작.도입 개연성 결말 그 무엇 하나도 흠 잡을 곳이 전혀 없는 최고의 작품
보면 볼수록 명작. 우리나라에 이런 영화가 또 나올까...
황정민 욕 찰지다. 이정재는 내면 연기를 했다지만 캐릭터가 황정민에 비해 많이 약했다. 황정민이 먼저였어야지. 산 사람 이름이 메인.
최고다 진짜~ 할말이없다
연기가...몰입도를 만들어주는구나
"13.05.12.한국의 무간도라 일컫을 수 있겠지만,그럼에도 역대 최고의 국내산 느와르 중 하나였다고 단언할 수 있을."
볼 때마다 전율이 흐른다. 담배피고 싶다.
정민이형은 뭐.. 단연1등이지 다른 수식어가 필요할까.?
"내 최애 영화중 하나!!! 이 영화는 주기적으로 다시보는 명작임!! 2편이 나온다고해서 기대하고 있는데 아무소식이없어서...안나오는건가요? 암튼 배우들,각본 연출 그어느것하나 빠지지않는 그런 영화임!"
한국 느와르 대표 명작.
찐 국내 르완느 띵작!!!
느와르는 이렇게... ost만 들어도 인천에서 바지선 띄운 그장면이 생각남..
심야에 혼자 극장에서 본 게 행운이었다.
"예전에 한번봤을때 넘 지루해서 대충봤다가, 평이 너무 좋길래 내가 잘못봤나 싶어서 한번 더봤는데 역시노잼.."
체고시다... 명작 인정 또봐도 존잼
티비에서 해줄때마다 보는데 매번 재밌음!!
봐도봐도 꿀잼! 폭력적인 장면이 나오긴 하나 정말 명작입니다
"오씨엔 신세계 대사 욕설이 절반인데 전부 삐쳐리해버리면..ㅡ.,ㅡ"
아주 재밌어요.. 스토리도 이해 잘되고 황정민 졸라 멋있다 핳
한국 느와르는 앞으로 이 정도로 만들어라
""
""
""
세번을 봐도 재밌다! 연기력 최고!!
레전드 진짜 한국 느와르
존잼 인생영화에요ㅠㅠㅠㅠ
지렷다 진짜 너무너무 재미있다
내가 본 느와르 영화 중에서 최고로 꼽는 영화다 이건 인생영화
내가 원하던 결말이라서 좋았다... 황정민 이정재 짱!!
독립운동하냐? 같은 경찰이 처참하게 죽어도 눈깜짝하지 않는 비현실적 허상
